ID,SelectedAnswer,AB133SurveyQuestion_REF_Number,AB133SurveyAnswerCategory_REF_ID
41,None,16,8
42,1-9 Hours,16,8
43,10-19 Hours,16,8
44,20-29 Hours,16,8
45,30-39 Hours,16,8
46,40+ Hours,16,8
47,Decline to State,16,8
69,None,16,11
70,1-9 Hours,16,11
71,10-19 Hours,16,11
72,20-29 Hours,16,11
73,30-39 Hours,16,11
74,40+ Hours,16,11
75,Decline to State,16,11
76,None,16,12
77,1-9 Hours,16,12
78,10-19 Hours,16,12
79,20-29 Hours,16,12
80,30-39 Hours,16,12
81,40+ Hours,16,12
82,Decline to State,16,12
83,None,16,10
84,1-9 Hours,16,10
85,10-19 Hours,16,10
86,20-29 Hours,16,10
87,30-39 Hours,16,10
88,40+ Hours,16,10
89,Decline to State,16,10
90,None,16,9
91,1-9 Hours,16,9
92,10-19 Hours,16,9
93,20-29 Hours,16,9
94,30-39 Hours,16,9
95,40+ Hours,16,9
96,Decline to State,16,9
97,Not Applicable,17,21
98,Decline to State,17,21
99,Not Applicable,19,29
100,Decline to State,19,29
121,Postgraduate Training,7,36
122,Fellow,7,36
123,Not in Training,7,36
124,Decline to State,7,36
129,1,9,38
130,2,9,38
131,3,9,38
132,4,9,38
133,5,9,38
134,6,9,38
135,7,9,38
136,8,9,38
137,9+,9,38
138,Decline to State,9,38
139,Aerospace Medicine,10,39
140,Allergy and Immunology,10,39
141,Anesthesiology,10,39
142,Cardiology,10,39
143,Colon and Rectal Surgery,10,39
144,Complementary & Alternative Medicine,10,39
145,Cosmetic Surgery,10,39
146,Critical Care,10,39
147,Dermatology,10,39
148,Emergency Medicine,10,39
149,Endocrinology,10,39
150,Epilepsy,10,39
151,"Facial, Plastic & Reconstructive Surgery",10,39
152,Family Medicine,10,39
153,Gastroenterology,10,39
154,General Practice,10,39
155,General Surgery,10,39
156,Geriatric Medicine,10,39
157,Hematology,10,39
158,Infectious Disease,10,39
159,Internal Medicine,10,39
160,Medical Genetics,10,39
161,Neonatal-Perinatal Medicine,10,39
162,Nephrology,10,39
163,Neurodevelopmental Disabilities,10,39
164,Neurological Surgery,10,39
165,Neurology,10,39
166,Neurology with Special Qualification in Child Neurology,10,39
167,Nuclear Medicine,10,39
168,Obstetrics and Gynecology,10,39
169,Occupational Medicine,10,39
170,Oncology,10,39
171,Ophthalmology,10,39
172,Orthopedic Surgery,10,39
173,Otolaryngology,10,39
174,Pain Medicine,10,39
175,Pathology,10,39
176,Pediatrics,10,39
177,Physical Medicine and Rehabilitation,10,39
178,Plastic Surgery,10,39
179,Psychiatry,10,39
180,Psychosomatic Medicine,10,39
181,Public Health and General Preventive Medicine,10,39
182,Radiation Oncology,10,39
183,Radiologic Physics,10,39
184,Radiology,10,39
185,Rheumatology,10,39
186,Sleep Medicine,10,39
187,Spine Surgery,10,39
188,Sports Medicine,10,39
189,Surgical Oncology,10,39
190,Thoracic Surgery,10,39
191,Urology,10,39
192,Vascular Surgery,10,39
193,Other - Not Listed,10,39
194,Decline to State,10,39
195,Aerospace Medicine,11,40
196,Allergy and Immunology,11,40
197,Anesthesiology,11,40
198,Cardiology,11,40
199,Colon and Rectal Surgery,11,40
200,Complementary & Alternative Medicine,11,40
201,Cosmetic Surgery,11,40
202,Critical Care,11,40
203,Dermatology,11,40
204,Emergency Medicine,11,40
205,Endocrinology,11,40
206,Epilepsy,11,40
207,"Facial, Plastic & Reconstructive Surgery",11,40
208,Family Medicine,11,40
209,Gastroenterology,11,40
210,General Practice,11,40
211,General Surgery,11,40
212,Geriatric Medicine,11,40
213,Hematology,11,40
214,Infectious Disease,11,40
215,Internal Medicine,11,40
216,Medical Genetics,11,40
217,Neonatal-Perinatal Medicine,11,40
218,Nephrology,11,40
219,Neurodevelopmental Disabilities,11,40
220,Neurological Surgery,11,40
221,Neurology,11,40
222,Neurology with Special Qualification in Child Neurology,11,40
223,Nuclear Medicine,11,40
224,Obstetrics and Gynecology,11,40
225,Occupational Medicine,11,40
226,Oncology,11,40
227,Ophthalmology,11,40
228,Orthopedic Surgery,11,40
229,Otolaryngology,11,40
230,Pain Medicine,11,40
231,Pathology,11,40
232,Pediatrics,11,40
233,Physical Medicine and Rehabilitation,11,40
234,Plastic Surgery,11,40
235,Psychiatry,11,40
236,Psychosomatic Medicine,11,40
237,Public Health and General Preventive Medicine,11,40
238,Radiation Oncology,11,40
239,Radiologic Physics,11,40
240,Radiology,11,40
241,Rheumatology,11,40
242,Sleep Medicine,11,40
243,Spine Surgery,11,40
244,Sports Medicine,11,40
245,Surgical Oncology,11,40
246,Thoracic Surgery,11,40
247,Urology,11,40
248,Vascular Surgery,11,40
249,Other - Not Listed,11,40
250,Decline to State,11,40
251,Allergy and Immunology,12,41
252,Anesthesiology,12,42
253,Critical Care Medicine,12,42
254,Hospice and Palliative Medicine,12,42
255,Pain Medicine,12,42
256,Pediatric Anesthesiology,12,42
257,Sleep Medicine,12,42
258,Colon and Rectal Surgery,12,43
259,Dermatology,12,44
260,Dermatopathology,12,44
261,Pediatric Dermatology,12,44
262,Anesthesiology Critical Care Medicine,12,45
263,Emergency Medical Services,12,45
264,Emergency Medicine,12,45
265,Hospice and Palliative Medicine,12,45
266,Internal Medicine-Critical Medicine,12,45
267,Medical Toxicology,12,45
268,Pain Medicine,12,45
269,Pediatric Emergency Medicine,12,45
270,Sports Medicine,12,45
271,Undersea and Hyperbaric Medicine,12,45
272,Facial Plastic & Reconstructive Surgery,12,46
273,Adolescent Medicine,12,47
274,Family Medicine,12,47
275,Geriatric Medicine,12,47
276,Hospice and Palliative Medicine,12,47
277,Pain Medicine,12,47
278,Sleep Medicine,12,47
279,Sports Medicine,12,47
280,Adolescent Medicine,12,48
281,Adult Congenital Heart Disease,12,48
282,Advanced Heart Failure and Transplant,12,48
283,Cardiology,12,48
284,Cardiovascular Disease,12,48
285,Clinical Cardiac Electrophysiology,12,48
286,Critical Care Medicine,12,48
287,"Endocrinology, Diabetes and Metabolism",12,48
288,Gastroenterology,12,48
289,Geriatric Medicine,12,48
290,Hematology,12,48
291,Hospice and Palliative Medicine,12,48
292,Infectious Disease,12,48
293,Internal Medicine,12,48
294,Interventional Cardiology,12,48
295,Medical Oncology,12,48
296,Nephrology,12,48
297,Pulmonary Disease,12,48
298,Rheumatology,12,48
299,Sleep Medicine,12,48
300,Sports Medicine,12,48
301,Transplant Hepatology,12,48
302,Clinical Biochemical Genetics,12,49
303,Clinical Cytogenetics and Genomics,12,49
304,Clinical Genetics and Genomics (MD),12,49
305,Clinical Molecular Genetics and Genomics,12,49
306,Laboratory Genetics and Genomics,12,49
307,Medical Biochemical Genetics,12,49
308,Molecular Genetic Pathology,12,49
309,Neurological Surgery,12,50
310,Nuclear Medicine,12,51
311,Critical Care Medicine,12,52
312,Female Pelvic Medicine and Reconstructive Surgery,12,52
313,Gynecologic Oncology,12,52
314,Hospice and Palliative Medicine,12,52
315,Maternal and Fetal Medicine,12,52
316,Obstetrics and Gynecology,12,52
317,Reproductive Endocrinology/Infertility,12,52
318,Ophthalmology,12,53
319,Orthopaedic Sports Medicine,12,54
320,Orthopaedic Surgery,12,54
321,Surgery of the Hand,12,54
322,Complex Pediatric Otolaryngology,12,55
323,Neurotology,12,55
324,Otolaryngology,12,55
325,Plastic Surgery Within the Head and Neck,12,55
326,Sleep Medicine,12,55
327,Pain Medicine,12,56
328,Blood Banking/Transfusion Medicine,12,57
329,Clinical Informatics,12,57
330,Cytopathology,12,57
331,Dermatopathology,12,57
332,Hematopathology,12,57
333,Neuropathology,12,57
334,Pathology – Anatomic,12,57
335,Pathology – Anatomic/Pathology- Clinical,12,57
336,Pathology – Chemical,12,57
337,Pathology – Clinical,12,57
338,Pathology – Forensic,12,57
339,Pathology – Medical Microbiology,12,57
340,Pathology – Molecular Genetic,12,57
341,Pathology – Pediatric,12,57
342,Adolescent Medicine,12,58
343,Child Abuse Pediatrics,12,58
344,Developmental-Behavioral Pediatrics,12,58
345,Hospice and Palliative Medicine,12,58
346,Medical Toxicology,12,58
347,Neonatal-Perinatal Medicine,12,58
348,Pediatric Cardiology,12,58
349,Pediatric Critical Care Medicine,12,58
350,Pediatric Emergency Medicine,12,58
351,Pediatric Endocrinology,12,58
352,Pediatric Gastroenterology,12,58
353,Pediatric Hematology-Oncology,12,58
354,Pediatric Hospital Medicine,12,58
355,Pediatric Infectious Diseases,12,58
356,Pediatric Nephrology,12,58
357,Pediatric Pulmonology,12,58
358,Pediatric Rheumatology,12,58
359,Pediatric Transplant Hepatology,12,58
360,Pediatrics,12,58
361,Sleep Medicine,12,58
362,Sports Medicine,12,58
363,Brain Injury Medicine,12,59
364,Hospice and Palliative Medicine,12,59
365,Neuromuscular Medicine,12,59
366,Pain Medicine,12,59
367,Pediatric Rehabilitation Medicine,12,59
368,Physical Medicine and Rehabilitation,12,59
369,Spinal Cord Injury Medicine,12,59
370,Sports Medicine,12,59
371,Plastic Surgery,12,60
372,Plastic Surgery Within the Head and Neck,12,60
373,Surgery of the Hand,12,60
374,Addiction Medicine,12,61
375,Aerospace Medicine,12,61
376,Clinical Informatics,12,61
377,Medical Toxicology,12,61
378,Occupational Medicine,12,61
379,Public Health and General Preventive Medicine,12,61
380,Undersea and Hyperbaric Medicine,12,61
381,Addiction Psychiatry,12,62
382,Brain Injury Medicine,12,62
383,Child and Adolescent Psychiatry,12,62
384,Clinical Neurophysiology,12,62
385,Epilepsy,12,62
386,Forensic Psychiatry,12,62
387,Geriatric Psychiatry,12,62
388,Hospice and Palliative Medicine,12,62
389,Neurodevelopmental Disabilities,12,62
390,Neurology,12,62
391,Neurology with Special Qualification in Child Neurology,12,62
392,Neuromuscular Medicine,12,62
393,Pain Medicine,12,62
394,Psychiatry,12,62
395,Psychosomatic Medicine,12,62
396,Sleep Medicine,12,62
397,Vascular Neurology,12,62
398,Diagnostic Radiology,12,63
399,Hospice and Palliative Medicine,12,63
400,Interventional Radiology and Diagnostic Radiology,12,63
401,Medical Physics,12,63
402,Neuroradiology,12,63
403,Nuclear Radiology,12,63
404,Pain Medicine,12,63
405,Pediatric Radiology,12,63
406,Radiation Oncology,12,63
407,Vascular and Interventional Radiology,12,63
408,Sleep Medicine,12,64
409,Spine Surgery,12,65
410,Complex General Surgical Oncology,12,66
411,Hospice and Palliative Medicine,12,66
412,Pediatric Surgery,12,66
413,Surgery,12,66
414,Surgery of the Hand,12,66
415,Surgical Critical Care,12,66
416,Vascular Surgery,12,66
417,Congenital Cardiac Surgery,12,67
418,Thoracic and Cardiac Surgery,12,67
419,Female Pelvic Medicine and Reconstructive Surgery,12,68
420,Pediatric Urology,12,68
421,Urology,12,68
422,Decline to State,12,69
423,None,12,69
527,Retired,14,89
566,English,22,93
567,African Languages,22,93
568,American Sign Language,22,93
569,Amharic,22,93
570,Arabic,22,93
571,Armenian,22,93
572,Cantonese,22,93
573,Croatian,22,93
574,Fijian,22,93
575,Formosan (Amis),22,93
576,French,22,93
577,French Creole,22,93
578,German,22,93
579,Greek,22,93
580,Gujarati,22,93
581,Hebrew,22,93
582,Hindi,22,93
583,Hmong,22,93
584,Hungarian,22,93
585,Ilocano,22,93
586,Indonesian,22,93
587,Italian,22,93
588,Japanese,22,93
589,Korean,22,93
590,Lao,22,93
591,Mandarin,22,93
592,Mien,22,93
593,Mon-Khmer (Cambodian),22,93
594,Navajo,22,93
595,Persian (Farsi),22,93
596,Polish,22,93
597,Portuguese,22,93
598,Panjabi (Punjabi),22,93
599,Russian,22,93
600,Samoan,22,93
601,Scandinavian Languages,22,93
602,Serbian,22,93
603,Spanish,22,93
604,Swahili,22,93
605,Tagalog,22,93
606,Telugu,22,93
607,Thai,22,93
608,Tonga,22,93
609,Turkish,22,93
610,Ukrainian,22,93
611,Urdu,22,93
612,Vietnamese,22,93
613,Xiang Chinese,22,93
614,Yiddish,22,93
615,Yoruba,22,93
616,Other Chinese,22,93
617,Other Non-English,22,93
618,Other Sign Language,22,93
619,Other (not listed),22,93
620,Decline to State,22,93
627,Male,25,96
628,Female,25,96
629,Transgender,25,96
630,"Do not identify as male, female, or transgender",25,96
631,Decline to state,25,96
642,No,1,101
643,"Mexican, Mexican American, Chicano/a",1,101
644,Puerto Rican,1,101
645,Cuban,1,101
646,Central American,1,101
647,South American,1,101
648,"Other Hispanic, Latino/a or Spanish origin",1,101
649,Decline to State,1,101
650,American Indian,2,102
651,Native American,2,102
652,Alaskan Native,2,102
653,Asian Indian,2,103
654,Chinese,2,103
655,Cambodian,2,103
656,Filipino,2,103
657,Indonesian,2,103
658,Japanese,2,103
659,Korean,2,103
660,Laotian/Hmong,2,103
661,Malaysian,2,103
662,Pakistani,2,103
663,Singaporean,2,103
664,Taiwanese,2,103
665,Thai,2,103
666,Vietnamese,2,103
667,Other Asian,2,103
668,Black,2,104
669,African American,2,104
670,African,2,104
671,Middle Eastern,2,104
672,Fijian,2,105
673,Guamanian,2,105
674,Hawaiian,2,105
675,Samoan,2,105
676,Tongan,2,105
677,Other Pacific Islander,2,105
678,White/Caucasian,2,106
679,European,2,106
680,Other (not listed),2,106
681,Decline to State,2,106
682,United States Primary Practice Location,17,21
683,United States Secondary Practice Location,19,29
688,Pulmonology,10,39
689,Pulmonology,11,40
691,Not Applicable,11,40
692,Primary Practice Location Outside of the United States,17,21
693,Secondary Practice Location Outside of the United States,19,29
694,Skipped based on question 14's response.,16,107
695,Skipped based on question 14's response.,17,21
696,Skipped based on question 14's response.,19,29
